0,1.232
0.0004,1.236
0.0008,1.238
0.0012,1.23
0.0016,1.234
0.002,1.238
0.0024,1.234
0.0028,1.234
0.0032,1.234
0.0036,1.23
0.004,1.236
0.0044,1.232
0.0048,1.24
0.0052,1.232
0.0056,1.234
0.006,1.24
0.0064,1.24
0.0068,1.228
0.0072,1.228
0.0076,1.24
0.008,1.232
0.0084,1.232
0.0088,1.234
0.0092,1.238
0.0096,1.236
0.01,1.234
0.0104,1.234
0.0108,1.232
0.0112,1.232
0.0116,1.232
0.012,1.234
0.0124,1.234
0.0128,1.228
0.0132,1.236
0.0136,1.228
0.014,1.236
0.0144,1.238
0.0148,1.23
0.0152,1.234
0.0156,1.234
0.016,1.234
0.0164,1.234
0.0168,1.234
0.0172,1.236
0.0176,1.234
0.018,1.232
0.0184,1.232
0.0188,1.236
0.0192,1.234
0.0196,1.234
0.02,1.234
0.0204,1.232
0.0208,1.23
0.0212,1.232
0.0216,1.234
0.022,1.23
0.0224,1.24
0.0228,1.228
0.0232,1.226
0.0236,1.238
0.024,1.236
0.0244,1.236
0.0248,1.234
0.0252,1.234
0.0256,1.232
0.026,1.24
0.0264,1.232
0.0268,1.236
0.0272,1.232
0.0276,1.244
0.028,1.232
0.0284,1.234
0.0288,1.224
0.0292,1.232
0.0296,1.23
0.03,1.228
0.0304,1.228
0.0308,1.226
0.0312,1.234
0.0316,1.228
0.032,1.228
0.0324,1.228
0.0328,1.23
0.0332,1.23
0.0336,1.23
0.034,1.23
0.0344,1.232
0.0348,1.23
0.0352,1.232
0.0356,1.232
0.036,1.234
0.0364,1.228
0.0368,1.238
0.0372,1.228
0.0376,1.234
0.038,1.222
0.0384,1.232
0.0388,1.23
0.0392,1.23
0.0396,1.232
0.04,1.23
0.0404,1.232
0.0408,1.224
0.0412,1.23
0.0416,1.228
0.042,1.228
0.0424,1.226
0.0428,1.232
0.0432,1.23
0.0436,1.226
0.044,1.23
0.0444,1.232
0.0448,1.23
0.0452,1.224
0.0456,1.23
0.046,1.23
0.0464,1.23
0.0468,1.23
0.0472,1.228
0.0476,1.234
0.048,1.23
0.0484,1.23
0.0488,1.224
0.0492,1.228
0.0496,1.222
0.05,1.232
0.0504,1.226
0.0508,1.23
0.0512,1.228
0.0516,1.23
0.052,1.234
0.0524,1.226
0.0528,1.23
0.0532,1.232
0.0536,1.234
0.054,1.232
0.0544,1.234
0.0548,1.232
0.0552,1.23
0.0556,1.228
0.056,1.234
0.0564,1.23
0.0568,1.236
0.0572,1.228
0.0576,1.236
0.058,1.234
0.0584,1.234
0.0588,1.232
0.0592,1.236
0.0596,1.226
0.06,1.238
0.0604,1.232
0.0608,1.236
0.0612,1.232
0.0616,1.238
0.062,1.232
0.0624,1.24
0.0628,1.232
